LogTime, DownloadSpeedMbps, UploadSpeedMbps, PingMs
2025-01-04 21:42:34, 70.70, 14.46, 6.60
2025-01-05 12:09:14, 82.16, 101.05, 25.57
2025-01-05 12:09:49, 81.39, 90.11, 49.21
2025-01-05 12:45:24, 80.89, 102.28, 7.17
2025-01-05 13:15:23, 85.37, 99.95, 6.36
2025-01-05 13:45:24, 77.32, 68.85, 7.22
2025-01-05 14:15:23, 93.88, 101.64, 22.80
2025-01-05 14:45:24, 73.56, 88.24, 6.98
2025-01-05 15:15:24, 91.05, 89.79, 16.39
2025-01-05 15:45:25, 90.22, 12.54, 21.25
2025-01-05 16:14:36, 73.79, 23.18, 23.62
2025-01-05 16:15:25, 82.44, 35.24, 22.39
2025-01-05 16:45:27, 84.62, 11.35, 22.18
2025-01-05 17:09:18, 73.38, 20.96, 22.72
